Name,Club,CupYear
Óscar Cardozo,Benfica Lissabon,2010
Nelson Valdez,Borussia Dortmund,2010
Lucas Barrios,CSD Colo Colo,2010
Edgar Benítez,CF Pachuca,2010
Dante López,UNAM Pumas,2010
Rodolfo Gamarra,Club Libertad Asunción,2010
Ján Mucha,Legia Warschau,2010
Dusan Kuciak,FC Vaslui,2010
Dusan Pernis,MSK Zilina,2010
Lubos Kamenar,FC Petrzalka,2010
Martin Skrtel,FC Liverpool,2010
Jan Durica,Lokomotiv Moskau,2010
Csaba Horváth,ADO Den Haag,2010
Kornel Salata,Slovan Bratislava,2010
Dusan Svento,Red Bull Salzburg,2010
Marek Cech,West Bromwich Albion,2010
Radoslav Zabavník,Terek Grozny,2010
Peter Pekarík,VfL Wolfsburg,2010
Martin Petras,AC Cesena,2010
Juraj Kucka,AC Sparta Prag,2010
Zdeno Strba,Skoda Xanthi,2010
Kamil Kopúnek,Spartak Trnava,2010
Marek Sapara,Rosenborg Trondheim,2010
Miroslav Karhan,1.FSV Mainz 05,2010
Marek Hamsik,SSC Neapel,2010
Jan Kozak,Slovan Bratislava,2010
Vladimír Weiss,Manchester City,2010
Miroslav Stoch,FC Chelsea,2010
Filip Holosko,Besiktas Istanbul,2010
Stanislav Sestak,VfL Bochum,2010
Róbert Vittek,OSC Lille,2010
Erik Jendrisek,1.FC Kaiserslautern,2010
Martin Jakubko,FK Moskau,2010
Glen Moss,Melbourne Victory,2010
Mark Paston,Wellington Phoenix,2010
James Bannatyne,Team Wellington,2010
Ryan Nelsen,Blackburn Rovers,2010
Winston Reid,FC Midtjylland,2010
Ivan Vicelich,Auckland City FC,2010
Tommy Smith,Ipswich Town,2010
Andrew Boyens,New York Red Bulls,2010
Benjamin Sigmund,Wellington Phoenix,2010
Tony Lochhead,Wellington Phoenix,2010
Aaron Scott,Waitakere United,2010
Chad Coombes,Auckland City FC,2010
Simon Elliott,San Jose Earthquakes,2010
David Mulligan,Wellington Phoenix,2010
Aaron Clapham,Canterbury United,2010
Tim Brown,Wellington Phoenix,2010
Jeremy Christie,Waitakere United,2010
Michael McGlinchey,Central Coast Mariners,2010
Andrew Barron,Team Wellington,2010
Leo Bertos,Wellington Phoenix,2010
Rory Fallon,Plymouth Argyle,2010
Chris Killen,Celtic Glasgow,2010
Shane Smeltz,Gold Coast United,2010
Jeremy Brockie,Northern Fury FC,2010
Neil Jones,University of California Santa Barbara,2010
Chris Wood,West Bromwich Albion,2010
Gianluigi Buffon,Juventus Turin,2010
Morgan De Sanctis,SSC Neapel,2010
Federico Marchetti,Cagliari Calcio,2010
Salvatore Sirigu,US Palermo,2010
Giorgio Chiellini,Juventus Turin,2010
Daniele Bonera,AC Mailand,2010
Fabio Cannavaro,Juventus Turin,2010
Nicola Legrottaglie,Juventus Turin,2010
Salvatore Bocchetti,FC Genua 1893,2010
Leonardo Bonucci,FC Genua 1893,2010
Fabio Grosso,Olympique Lyon,2010
Domenico Criscito,FC Genua 1893,2010
Davide Santon,Inter Mailand,2010
Gianluca Zambrotta,AC Mailand,2010
Christian Maggio,SSC Neapel,2010
Mattia Cassani,US Palermo,2010
Daniele De Rossi,AS Rom,2010
Gennaro Gattuso,AC Mailand,2010
Angelo Palombo,Sampdoria Genua,2010
Andrea Pirlo,AC Mailand,2010
Riccardo Montolivo,AC Florenz,2010
Gaetano D'Agostino,Udinese Calcio,2010
Marco Marchionni,AC Florenz,2010
Claudio Marchisio,Juventus Turin,2010
Daniele Galloppa,FC Parma,2010
Davide Biondini,Cagliari Calcio,2010
Mauro Camoranesi,Juventus Turin,2010
Andrea Cossu,Cagliari Calcio,2010
Simone Pepe,Udinese Calcio,2010
Antonio Candreva,AS Livorno,2010
Raffaele Palladino,FC Genua 1893,2010
Fabio Quagliarella,SSC Neapel,2010
Giuseppe Rossi,FC Villarreal,2010
Alberto Gilardino,AC Florenz,2010
Antonio Di Natale,Udinese Calcio,2010
Vincenzo Iaquinta,Juventus Turin,2010
Marco Borriello,AC Mailand,2010
Giampaolo Pazzini,Sampdoria Genua,2010
Júlio César,Inter Mailand,2010
Doni,AS Rom,2010
Heurelho Gomes,Tottenham Hotspur,2010
Lúcio,FC Bayern München,2010
Juan,AS Rom,2010
Luisão,Benfica Lissabon,2010
Cris,Olympique Lyon,2010
Thiago Silva,AC Mailand,2010
Gilberto Silva,Panathinaikos Athen,2010
Miranda,FC São Paulo,2010
André Santos,Corinthians Sao Paulo,2010
Dani Alves,FC Barcelona,2010
Maicon,Inter Mailand,2010
Felipe Melo,AC Florenz,2010
Josué,VfL Wolfsburg,2010
Lucas,FC Liverpool,2010
Fábio Simplício,US Palermo,2010
Ramires,Benfica Lissabon,2010
Kléberson,Flamengo Rio de Janeiro,2010
Kaká,Real Madrid,2010
Júlio Baptista,AS Rom,2010
Elano,Galatasaray Istanbul,2010
Carlos Eduardo,TSG 1899 Hoffenheim,2010
Alex,Spartak Moskau,2010
Gilberto,EC Cruzeiro Belo Horizonte,2010
Michel Bastos,OSC Lille,2010
Hulk,FC Porto,2010
Robinho,Manchester City,2010
Luís Fabiano,FC Sevilla,2010
Nilmar,SC Internacional Porto Alegre,2010
Grafite,VfL Wolfsburg,2010
Adriano,Flamengo Rio de Janeiro,2010
Diego Tardelli,Atlético Mineiro,2010
Rui Patrício,Sporting Lissabon,2010
José Moreira,Benfica Lissabon,2010
Eduardo,Sporting Braga,2010
Beto,FC Porto,2010
Daniel Fernandes,VfL Bochum,2010
Henrique Hilário,FC Chelsea,2010
Pepe,Real Madrid,2010
Ricardo Carvalho,FC Chelsea,2010
Bruno Alves,FC Porto,2010
Rolando,FC Porto,2010
Tonel,Sporting Lissabon,2010
Ricardo Costa,VfL Wolfsburg,2010
Zé Castro,Deportivo La Coruna,2010
Fábio Coentrão,Benfica Lissabon,2010
José Bosingwa,FC Chelsea,2010
Miguel,FC Valencia,2010
Paulo Ferreira,FC Chelsea,2010
Miguel Veloso,Sporting Lissabon,2010
Pedro Mendes,Glasgow Rangers,2010
João Moutinho,Sporting Lissabon,2010
Tiago,Juventus Turin,2010
Raul Meireles,FC Porto,2010
Rúben Amorim,Benfica Lissabon,2010
Eliseu,Lazio Rom,2010
Deco,FC Chelsea,2010
Duda,FC Sevilla,2010
Simão,Atlético Madrid,2010
Danny,Zenit St. Petersburg,2010
Nani,Manchester United,2010
Cristiano Ronaldo,Real Madrid,2010
Silvestre Varela,FC Porto,2010
Liédson,Sporting Lissabon,2010
Hugo Almeida,SV Werder Bremen,2010
Edinho,FC Málaga,2010
Iker Casillas,Real Madrid,2010
Pepe Reina,FC Liverpool,2010
Diego López,FC Villarreal,2010
Victor Valdés,FC Barcelona,2010
Sergio Ramos,Real Madrid,2010
Carles Puyol,FC Barcelona,2010
Gerard Piqué,FC Barcelona,2010
Carlos Marchena,FC Valencia,2010
Raúl Albiol,Real Madrid,2010
Joan Capdevila,FC Villarreal,2010
Nacho Monreal,CA Osasuna,2010
Álvaro Arbeloa,FC Liverpool,2010
Andoni Iraola,Athletic Bilbao,2010
Marcos Senna,FC Villarreal,2010
Javi Martínez,Athletic Bilbao,2010
Sergio Busquets,FC Barcelona,2010
Xavi,FC Barcelona,2010
Andrés Iniesta,FC Barcelona,2010
Xabi Alonso,FC Liverpool,2010
Albert Riera,FC Liverpool,2010
Cesc Fàbregas,FC Arsenal,2010
David Silva,FC Valencia,2010
Juan Mata,FC Valencia,2010
Santi Cazorla,FC Villarreal,2010
Jesús Navas,FC Sevilla,2010
Pablo Hernández,FC Valencia,2010
Pedro,FC Barcelona,2010
Fernando Torres,FC Liverpool,2010
David Villa,FC Valencia,2010
Daniel Güiza,Fenerbahce Istanbul,2010
Álvaro Negredo,Real Madrid,2010
Fernando Llorente,Athletic Bilbao,2010
Diego Benaglio,VfL Wolfsburg,2010
Marco Wölfli,BSC Young Boys,2010
Johnny Leoni,FC Zürich,2010
Philippe Senderos,FC Arsenal,2010
Johan Djourou,FC Arsenal,2010
Steve von Bergen,Hertha BSC,2010
Stéphane Grichting,AJ Auxerre,2010
Mario Eggimann,Hannover 96,2010
Heinz Barmettler,FC Zürich,2010
Jonathan Rossini,Sampdoria Genua,2010
Ludovic Magnin,VfB Stuttgart,2010
Reto Ziegler,Sampdoria Genua,2010
Stephan Lichtsteiner,Lazio Rom,2010
Philipp Degen,FC Liverpool,2010
Valon Behrami,West Ham United,2010
Gelson Fernandes,Manchester City,2010
Christoph Spycher,Eintracht Frankfurt,2010
Benjamin Huggel,FC Basel 1893,2010
Pirmin Schwegler,Eintracht Frankfurt,2010
Gökhan Inler,Udinese Calcio,2010
Marco Padalino,Sampdoria Genua,2010
Hakan Yakin,FC Luzern,2010
Davide Chiumiento,FC Luzern,2010
Tranquillo Barnetta,Bayer 04 Leverkusen,2010
Johan Vonlanthen,Red Bull Salzburg,2010
David Degen,BSC Young Boys,2010
Xherdan Shaqiri,FC Basel 1893,2010
Alexander Frei,FC Basel 1893,2010
Eren Derdiyok,Bayer 04 Leverkusen,2010
Blaise Nkufo,FC Twente Enschede,2010
Marco Streller,FC Basel 1893,2010
Albert Bunjaku,1.FC Nürnberg,2010
Timo Hildebrand,VfB Stuttgart,2006
Oliver Kahn,FC Bayern München,2006
Jens Lehmann,FC Arsenal,2006
Arne Friedrich,Hertha BSC,2006
Christoph Metzelder,Borussia Dortmund,2006
Per Mertesacker,Hannover 96,2006
Robert Huth,FC Chelsea,2006
Jens Nowotny,Bayer 04 Leverkusen,2006
Marcell Jansen,Borussia Mönchengladbach,2006
Philipp Lahm,FC Bayern München,2006
Patrick Owomoyela,SV Werder Bremen,2006
Fabian Ernst,FC Schalke 04,2006
Torsten Frings,SV Werder Bremen,2006
Sebastian Kehl,Borussia Dortmund,2006
Lukas Sinkiewicz,1.FC Köln,2006
Michael Ballack,FC Bayern München,2006
Bastian Schweinsteiger,FC Bayern München,2006
Tim Borowski,SV Werder Bremen,2006
Thomas Hitzlsperger,VfB Stuttgart,2006
Sebastian Deisler,FC Bayern München,2006
Bernd Schneider,Bayer 04 Leverkusen,2006
David Odonkor,Borussia Dortmund,2006
Lukas Podolski,1.FC Köln,2006
Miroslav Klose,SV Werder Bremen,2006
Kevin Kuranyi,FC Schalke 04,2006
Gerald Asamoah,FC Schalke 04,2006
Oliver Neuville,Borussia Mönchengladbach,2006
Mike Hanke,VfL Wolfsburg,2006
Artur Boruc,Legia Warschau,2006
Tomasz Kuszczak,West Bromwich Albion,2006
Lukasz Fabianski,Legia Warschau,2006
Jacek Bak,Al-Rayyan Sports Club,2006
Michal Zewlakow,RSC Anderlecht,2006
Mariusz Jop,FK Moskau,2006
Bartosz Bosacki,1.FC Nürnberg,2006
Seweryn Gancarczyk,Metalist Kharkiv,2006
Marcin Baszczynski,Wisla Krakau,2006
Mariusz Lewandowski,Shakhtar Donetsk,2006
Arkadiusz Radomski,FK Austria Wien,2006
Radoslaw Sobolewski,Wisla Krakau,2006
Dariusz Dudka,Amica Wronki,2006
Miroslaw Szymkowiak,Trabzonspor,2006
Jacek Krzynowek,Bayer 04 Leverkusen,2006
Kamil Kosowski,FC Southampton,2006
Sebastian Mila,FK Austria Wien,2006
Piotr Giza,Cracovia Krakau,2006
Maciej Zurawski,Celtic Glasgow,2006
Grzegorz Rasiak,Tottenham Hotspur,2006
Ireneusz Jelen,Wisla Plock,2006
Ebi Smolarek,Borussia Dortmund,2006
Pawel Brozek,Wisla Krakau,2006
Paul Robinson,Tottenham Hotspur,2006
Robert Green,Norwich City,2006
David James,Manchester City,2006
Scott Carson,FC Liverpool,2006
Rio Ferdinand,Manchester United,2006
John Terry,FC Chelsea,2006
Sol Campbell,FC Arsenal,2006
Ledley King,Tottenham Hotspur,2006
Jamie Carragher,FC Liverpool,2006
Matthew Upson,Birmingham City,2006
Wes Brown,Manchester United,2006
Ashley Cole,FC Arsenal,2006
Wayne Bridge,FC Chelsea,2006
Kieran Richardson,Manchester United,2006
Gary Neville,Manchester United,2006
Glen Johnson,FC Chelsea,2006
Luke Young,Charlton Athletic,2006
Owen Hargreaves,FC Bayern München,2006
Phil Neville,FC Everton,2006
Frank Lampard,FC Chelsea,2006
Steven Gerrard,FC Liverpool,2006
David Beckham,Real Madrid,2006
Jermaine Jenas,Newcastle United,2006
Michael Carrick,Tottenham Hotspur,2006
Stewart Downing,FC Middlesbrough,2006
Shaun Wright-Phillips,FC Chelsea,2006
Joe Cole,FC Chelsea,2006
Aaron Lennon,Tottenham Hotspur,2006
Theo Walcott,FC Southampton,2006
Wayne Rooney,Manchester United,2006
Michael Owen,Real Madrid,2006
Jermain Defoe,Tottenham Hotspur,2006
Darren Bent,Charlton Athletic,2006
Peter Crouch,FC Southampton,2006
Andreas Isaksson,FC Stade Rennes,2006
Rami Shaaban,Fredrikstad FK,2006
John Alvbage,Viborg FF,2006
Olof Mellberg,Aston Villa,2006
Daniel Andersson,Malmö FF,2006
Teddy Lucic,BK Häcken,2006
Petter Hansson,SC Heerenveen,2006
Karl Svensson,IFK Göteborg,2006
Erik Edman,Tottenham Hotspur,2006
Fredrik Stenman,Djurgardens IF,2006
Mikael Nilsson,Panathinaikos Athen,2006
Tobias Linderoth,FC Kopenhagen,2006
Kim Källström,FC Stade Rennes,2006
Anders Svensson,IF Elfsborg Boras,2006
Niclas Alexandersson,IFK Göteborg,2006
Fredrik Ljungberg,FC Arsenal,2006
Christian Wilhelmsson,RSC Anderlecht,2006
Zlatan Ibrahimovic,Juventus Turin,2006
Henrik Larsson,FC Barcelona,2006
Markus Rosenberg,Ajax Amsterdam,2006
Johan Elmander,Bröndby IF,2006
Marcus Allbäck,FC Kopenhagen,2006
Mattias Jonson,Djurgardens IF,2006
Justo Villar,Club Atlético Newell's Old Boys,2006
Derlis Gómez,Sportivo Luqueno,2006
Aldo Bobadilla,Club de Gimnasia y Esgrima La Plata,2006
Carlos Gamarra,SE Palmeiras São Paulo,2006
Julio Cáceres,Atlético Mineiro,2006
Paulo da Silva,Deportivo Toluca,2006
Julio Manzur,Club Guaraní,2006
Denis Caniza,CD Cruz Azul,2006
Delio Toledo,Real Saragossa ,2006
Jorge Núñez,Racing Club de Avellaneda,2006
Carlos Bonet,Club Libertad Asunción,2006
Carlos Paredes,Reggina Calcio,2006
Cristian Riveros,Tacuary Fútbol Club,2006
Édgar Barreto,NEC Nijmegen,2006
Julio dos Santos,Club Cerro Porteño,2006
Roberto Acuña,Deportivo La Coruna,2006
Diego Gavilán,SC Internacional Porto Alegre,2006
José Montiel,Olimpia Asunción,2006
Nelson Cuevas,CF Pachuca,2006
Nelson Valdez,SV Werder Bremen,2006
Roque Santa Cruz,FC Bayern München,2006
Dante López,Olimpia Asunción,2006
Salvador Cabañas,Chiapas FC,2006
Leo Franco,Atlético Madrid,2006
Óscar Ustari,CA Independiente de Avellaneda,2006
Germán Lux,Club Atlético River Plate,2006
Willy Caballero,FC Elche,2006
Roberto Carlos Abbondanzieri,Club Atlético Boca Juniors,2006
Wálter Samuel,Inter Mailand,2006
Gabriel Heinze,Manchester United,2006
Javier Mascherano,Corinthians Sao Paulo,2006
Roberto Fabián Ayala,FC Valencia,2006
Gabriel Milito,Real Saragossa ,2006
Fabricio Coloccini,Deportivo La Coruna,2006
Martín Demichelis,FC Bayern München,2006
Nicolás Burdisso,Inter Mailand,2006
Gonzalo Rodríguez,FC Villarreal,2006
Juan Pablo Sorín,FC Villarreal,2006
Diego Placente,Celta Vigo,2006
Leandro Cufré,AS Rom,2006
Javier Zanetti,Inter Mailand,2006
Lionel Scaloni,Deportivo La Coruna,2006
Esteban Cambiasso,Inter Mailand,2006
Lucas Bernardi,AS Monaco,2006
Lucho González,FC Porto,2006
Pablo Aimar,FC Valencia,2006
Juan Riquelme,FC Villarreal,2006
Maxi Rodríguez,Atlético Madrid,2006
Mario Santana,US Palermo,2006
Luciano Galletti,Atlético Madrid,2006
César Delgado,CD Cruz Azul,2006
Carlos Tévez,Corinthians Sao Paulo,2006
Javier Saviola,FC Barcelona,2006
Rodrigo Palacio,Club Atlético Boca Juniors,2006
Hernán Crespo,FC Chelsea,2006
Julio Cruz,Inter Mailand,2006
Luciano Figueroa,FC Villarreal,2006
Lionel Messi,FC Barcelona,2006
Edwin van der Sar,Manchester United,2006
Henk Timmer,AZ Alkmaar,2006
Maarten Stekelenburg,Ajax Amsterdam,2006
Khalid Boulahrouz,Hamburger SV,2006
Joris Mathijsen,AZ Alkmaar,2006
Johnny Heitinga,Ajax Amsterdam,2006
André Ooijer,PSV Eindhoven,2006
Barry Opdam,AZ Alkmaar,2006
Kew Jaliens,AZ Alkmaar,2006
Giovanni van Bronckhorst,FC Barcelona,2006
Tim de Cler,AZ Alkmaar,2006
Jan Kromkamp,FC Villarreal,2006
Mark van Bommel,FC Barcelona,2006
George Boateng,FC Middlesbrough,2006
Phillip Cocu,PSV Eindhoven,2006
Hedwiges Maduro,Ajax Amsterdam,2006
Denny Landzaat,AZ Alkmaar,2006
Wesley Sneijder,Ajax Amsterdam,2006
Rafael van der Vaart,Hamburger SV,2006
Nicky Hofs,Feyenoord Rotterdam,2006
Arjen Robben,FC Chelsea,2006
Martijn Meerdink,AZ Alkmaar,2006
Ryan Babel,Ajax Amsterdam,2006
Dirk Kuyt,Feyenoord Rotterdam,2006
Ruud van Nistelrooy,Manchester United,2006
Robin van Persie,FC Arsenal,2006
Jan Vennegoor of Hesselink,PSV Eindhoven,2006
Gérard Gnanhouan,HSC Montpellier,2006
Copa,KSK Beveren,2006
Jean-Jacques Tizie,Esperance Tunis,2006
Kolo Touré,FC Arsenal,2006
Abdoulaye Méïté,Olympique Marseille,2006
Marco Zoro,ACR Messina,2006
Cyril Domoraud,US Créteil-Lusitanos,2006
Blaise Kouassi,ES Troyes AC,2006
Arthur Boka,Racing Straßburg,2006
Siaka Tiéné,AS Saint-Étienne,2006
Emmanuel Eboué,FC Arsenal,2006
Guy Demel,Hamburger SV,2006
Didier Zokora,AS Saint-Étienne,2006
Romaric,FC Le Mans,2006
Emerse Faé,FC Nantes,2006
Gilles Yapi Yapo,FC Nantes,2006
Yaya Touré,Olympiakos Piräus,2006
Bonaventure Kalou,FC Paris Saint-Germain,2006
Kanga Akalé,AJ Auxerre,2006
Bakari Koné,OGC Nizza,2006
Abdul Kader Keita,OSC Lille,2006
Aruna Dindane,RC Lens,2006
Didier Drogba,FC Chelsea,2006
Arouna Koné,Roda JC Kerkrade,2006
Dragoslav Jevric,Ankaraspor,2006
Oliver Kovačević,Zeleznik Belgrad,2006
Vladimir Stojkovic,Roter Stern Belgrad,2006
Mladen Krstajic,FC Schalke 04,2006
Nemanja Vidić‎,Spartak Moskau,2006
Ivica Dragutinovic,Standard Lüttich,2006
Goran Gavrancic,Dynamo Kiew,2006
Dusan Petkovic,OFK Belgrad,2006
Nenad Djordjevic,FK Partizan Belgrad,2006
Milan Dudic,Roter Stern Belgrad,2006
Dusan Basta,Roter Stern Belgrad,2006
Igor Duljaj,Shakhtar Donetsk,2006
Albert Nadj,FK Partizan Belgrad,2006
Dejan Stankovic,Inter Mailand,2006
Milos Maric,Olympiakos Piräus,2006
Ivan Ergic,FC Basel 1893,2006
Zvonimir Vukic,FC Portsmouth,2006
Sasa Ilic,Galatasaray Istanbul,2006
Predrag Djordjevic,Olympiakos Piräus,2006
Ognjen Koroman,Terek Grozny,2006
Mateja Kezman,Atlético Madrid,2006
Nenad Jestrovic,RSC Anderlecht,2006
Savo Milosevic,CA Osasuna,2006
Danijel Ljuboja,FC Paris Saint-Germain,2006
Nikola Zigic,Roter Stern Belgrad,2006
Ricardo,Sporting Lissabon,2006
Quim,Benfica Lissabon,2006
Paulo Santos,Sporting Braga,2006
Ricardo Carvalho,FC Chelsea,2006
Jorge Andrade,Deportivo La Coruna,2006
Fernándo Meira,VfB Stuttgart,2006
Ricardo Costa,FC Porto,2006
Marco Caneira,FC Valencia,2006
Nuno Valente,FC Everton,2006
Jorge Ribeiro,Dinamo Moskau,2006
Paulo Ferreira,FC Chelsea,2006
Miguel,FC Valencia,2006
Frechaut,Dinamo Moskau,2006
Alex,Benfica Lissabon,2006
Costinha,Dinamo Moskau,2006
Petit,Benfica Lissabon,2006
Maniche,Dinamo Moskau,2006
Tiago,Olympique Lyon,2006
Hugo Viana,Newcastle United,2006
João Moutinho,Sporting Lissabon,2006
Luís Boa Morte,FC Fulham,2006
Deco,FC Barcelona,2006
João Alves,Sporting Lissabon,2006
Simão,Benfica Lissabon,2006
Luís Figo,Inter Mailand,2006
Cristiano Ronaldo,Manchester United,2006
Ricardo Quaresma,FC Porto,2006
Nuno Gomes,Benfica Lissabon,2006
Pauleta,FC Paris Saint-Germain,2006
Hélder Postiga,FC Porto,2006
Oswaldo Sánchez,Deportivo Guadalajara,2006
Guillermo Ochoa,CF América,2006
José de Jesús Corona,Estudiantes Tecos,2006
Rafael Márquez,FC Barcelona,2006
Joel Huiqui,CD Cruz Azul,2006
Claudio Suárez,Tigres UANL,2006
Maza,Deportivo Guadalajara,2006
Andrés Guardado,Atlas Guadalajara,2006
Ricardo Osorio,CD Cruz Azul,2006
Diego Martínez,Club Necaxa,2006
José Antonio Castro,CF América,2006
Gerardo Torrado,CD Cruz Azul,2006
Pável Pardo,CF América,2006
Carlos Salcido,Deportivo Guadalajara,2006
Rafael García,Atlas Guadalajara,2006
Luis Ernesto Pérez,CF Monterrey,2006
Gonzalo Pineda,UNAM Pumas,2006
Juan Pablo Rodríguez,Estudiantes Tecos,2006
Israel López,Deportivo Toluca,2006
Mario Méndez,Deportivo Toluca,2006
Jaime Lozano,Tigres UANL,2006
Sinha,Deportivo Toluca,2006
Ramón Morales,Deportivo Guadalajara,2006
Jesús Arellano,CF Monterrey,2006
Daniel Osorno,Atlas Guadalajara,2006
Francisco Fonseca,CD Cruz Azul,2006
Jared Borgetti,Bolton Wanderers,2006
Omar Bravo,Deportivo Guadalajara,2006
Guillermo Franco,CF Monterrey,2006
Gianluigi Buffon,Juventus Turin,2006
Christian Abbiati,AC Mailand,2006
Marco Amelia,AS Livorno,2006
Angelo Peruzzi,Lazio Rom,2006
Alessandro Nesta,AC Mailand,2006
Fabio Cannavaro,Juventus Turin,2006
Cristian Zaccardo,US Palermo,2006
Andrea Barzagli,US Palermo,2006
Marco Materazzi,Inter Mailand,2006
Fabio Grosso,US Palermo,2006
Gianluca Zambrotta,Juventus Turin,2006
Massimo Oddo,Lazio Rom,2006
Aimo Diana,Sampdoria Genua,2006
Gennaro Gattuso,AC Mailand,2006
Daniele De Rossi,AS Rom,2006
Simone Barone,US Palermo,2006
Andrea Pirlo,AC Mailand,2006
Mauro Camoranesi,Juventus Turin,2006
Simone Perrotta,AS Rom,2006
Francesco Totti,AS Rom,2006
Alessandro Del Piero,Juventus Turin,2006
Alberto Gilardino,AC Mailand,2006
Luca Toni,AC Florenz,2006
Filippo Inzaghi,AC Mailand,2006
Vincenzo Iaquinta,Udinese Calcio,2006
Petr Cech,FC Chelsea,2006
Jaromír Blazek,AC Sparta Prag,2006
Antonín Kinský,Saturn Ramenskoe,2006
Tomás Ujfalusi,AC Florenz,2006
Radoslav Kovac,Spartak Moskau,2006
Martin Jiranek,Spartak Moskau,2006
David Rozehnal,FC Paris Saint-Germain,2006
Marek Jankulovski,AC Mailand,2006
Pavel Mares,Zenit St. Petersburg,2006
Zdenek Grygera,Ajax Amsterdam,2006
David Jarolím,Hamburger SV,2006
Jan Polak,1.FC Nürnberg,2006
Tomás Galásek,Ajax Amsterdam,2006
Jaroslav Plasil,AS Monaco,2006
Karel Poborsky,AC Sparta Prag,2006
Pavel Nedved,Juventus Turin,2006
Tomás Rosicky,Borussia Dortmund,2006
Lukas Zelenka,AC Sparta Prag,2006
Stepan Vachousek,FK Austria Wien,2006
Libor Sionko,FK Austria Wien,2006
Karel Pitak,SK Slavia Prag,2006
Tomas Jun,Trabzonspor,2006
Jiri Stajner,Hannover 96,2006
Milan Baros,FC Liverpool,2006
Jan Koller,Borussia Dortmund,2006
Vratislav Lokvenc,Red Bull Salzburg,2006
Marek Heinz,Borussia Mönchengladbach,2006
Tim Howard,Manchester United,2006
Kasey Keller,Borussia Mönchengladbach,2006
